category,item,Family_of_Four_on_Full_Income_Support,Single_Parent_on_Full_Income_Support,One_Person_On_Full_Income_Support
Income,Basic Allowance,$494.00,$360.00,$343.00
Income,Maximum Shelter Allowance,$756.00,$697.00,$390.00
Income,GST/HST credit,$76.00,$76.00,$25.00
Income,Ontario Trillium Benefit,$170.00,$138.00,$76.00
Income,Climate Action Incentive Payment,$62.00,$54.00,$31.00
Income,Total,"$2,764.00","$2,532.00",$865.00
Selected Expense,Average Monthly Rent,"$1,961.00","$1,703.00","$1,225.00"
Selected Expense,Food,"$1,141.00",$855.00,$392.00
Selected Expense,Transportation,$440.00,$284.00,$156.00
Selected Expense,Total,"$4,150.00","$3,450.00","$1,773.00"
Other,Funds Remaining,"-$1,386.00",-$918.00,-$908.00
Other,Percentage of income required for rent,71%,67%,142%
Other,Percentage of income required to purchase healthy food,41%,34%,45%
